feature,coefficient,absolute_coefficient
BMXHIP,-0.9585672781324509,0.9585672781324509
LBXSIR,0.8924572329165881,0.8924572329165881
LBXSHBG,-0.8443336602754685,0.8443336602754685
LBXPG4,-0.8320973152490599,0.8320973152490599
BMXWT,0.7268854316919835,0.7268854316919835
LBXSGL,-0.7208810851899518,0.7208810851899518
BMXARMC,0.5953508928000611,0.5953508928000611
RHQ200_1,-0.5420432020802045,0.5420432020802045
RIDRETH3_4,-0.4860270271959243,0.4860270271959243
LBXDHE,-0.48331320757518453,0.48331320757518453
LBXSTB,-0.44432198295540826,0.44432198295540826
URXPREG_missing,0.4300599119647304,0.4300599119647304
LBXSATSI,0.39391593130973424,0.39391593130973424
LBXSAL,0.3781161576373805,0.3781161576373805
RIDRETH3_3,0.3405878695351982,0.3405878695351982
LBXGH,0.3345824804510078,0.3345824804510078
INDFMPIR,-0.33150721773195757,0.33150721773195757
RIDEXPRG_2,0.3309193534591178,0.3309193534591178
BMXWAIST,0.32374733761927543,0.32374733761927543
LBXAMH,-0.2951556662983241,0.2951556662983241
DMDMARTZ_missing,0.28999596661637034,0.28999596661637034
LBXSASSI,-0.2750236739018592,0.2750236739018592
BMXBMI,-0.27320774413019694,0.27320774413019694
RHD280_1,-0.25211305485945656,0.25211305485945656
RHD280_2,0.2521130548594559,0.2521130548594559
RIDEXPRG_missing,-0.25088639016298053,0.25088639016298053
RIDRETH3_7,0.24960954017484804,0.24960954017484804
LBXSCA,0.23981343859274679,0.23981343859274679
LBXESO,-0.23178034118173735,0.23178034118173735
LBXTST,0.23074693589534315,0.23074693589534315
BMXARML,-0.22152784990772728,0.22152784990772728
LBDLDL,-0.20646531538162327,0.20646531538162327
URXPREG_1,-0.205831782070847,0.205831782070847
RIDEXPRG_1,-0.20583178207084687,0.20583178207084687
DMDMARTZ_1,-0.20466093702171215,0.20466093702171215
DMDEDUC2_2,0.2043001066712398,0.2043001066712398
RHQ200_missing,0.2010361388229136,0.2010361388229136
RHQ305_missing,-0.20080660745447929,0.20080660745447929
RIDRETH3_2,-0.19884907904570787,0.19884907904570787
LBXSTP,0.18894961837302698,0.18894961837302698
LBXSTR,-0.1848870967056769,0.1848870967056769
LBXGLU,-0.16019021097956332,0.16019021097956332
DMDMARTZ_2,0.15936808053784374,0.15936808053784374
RHQ305_1,0.15311239008511082,0.15311239008511082
URXPREG_2,-0.14774233866660721,0.14774233866660721
RHQ131_1,0.14371199886950076,0.14371199886950076
RHQ131_2,-0.13633177658849605,0.13633177658849605
RIDRETH3_6,0.12902309023426778,0.12902309023426778
RHQ010,-0.12305025758987291,0.12305025758987291
LBXTC,0.12292514677479287,0.12292514677479287
LBXAND,-0.12059936412587303,0.12059936412587303
RIDRETH3_1,-0.1128875177928653,0.1128875177928653
LBDHDD,-0.11259375600219558,0.11259375600219558
DMDEDUC2_3,-0.09399085672577433,0.09399085672577433
RIDAGEYR,0.09268198209678562,0.09268198209678562
LBXSBU,0.0873054788297634,0.0873054788297634
DMDMARTZ_3,0.07898659456072711,0.07898659456072711
DMDEDUC2_4,-0.07591884920368991,0.07591884920368991
RHQ131_missing,-0.0705210053959529,0.0705210053959529
RHQ078_missing,-0.0705210053959529,0.0705210053959529
LBXSCR,0.06314809403235827,0.06314809403235827
LBXSAPSI,-0.04781373435976996,0.04781373435976996
DMDEDUC2_1,0.044613381656790366,0.044613381656790366
RHQ200_2,-0.037663008382305685,0.037663008382305685
LBXEST,-0.03492793029810003,0.03492793029810003
LBXSUA,0.0345910310041906,0.0345910310041906
RHQ305_2,0.03377094537199319,0.03377094537199319
LBXIN,-0.03239421105449309,0.03239421105449309
DMDEDUC2_5,0.02825214118021032,0.02825214118021032
LBXHSCRP,-0.02790379159423337,0.02790379159423337
BMXHT,0.026661789491289483,0.026661789491289483
LBXTLG,0.022524512471569624,0.022524512471569624
RHQ078_1,0.01755998163803344,0.01755998163803344
RHD167,0.012915689535762552,0.012915689535762552
RHQ078_2,0.004792407476451287,0.004792407476451287
BMXLEG,-0.0015159707230358117,0.0015159707230358117
DMDEDUC2_missing,0.0,0.0
RIDRETH3_missing,0.0,0.0
RHD280_missing,0.0,0.0
